Found 2517 video directories; workers=8; fps=auto; dry_run=False
[1/2517] actionclipautoautotrain00005: frames=281, subjects=5, fps=24.995 (ffprobe:actionclipautoautotrain00005.avi), written=281
[605/2517] actionclipautoautotrain00604: frames=681, subjects=5, fps=25 (ffprobe:actionclipautoautotrain00604.avi), written=681
[606/2517] actionclipautoautotrain00607: frames=231, subjects=5, fps=25 (ffprobe:actionclipautoautotrain00607.avi), written=231
[607/2517] actionclipautoautotrain00612: frames=231, subjects=5, fps=25 (ffprobe:actionclipautoautotrain00612.avi), written=231
[608/2517] actionclipautoautotrain00603: frames=1156, subjects=5, fps=25 (ffprobe:actionclipautoautotrain00603.avi), written=1156
[609/2517] actionclipautoautotrain00609: frames=256, subjects=5, fps=25 (ffprobe:actionclipautoautotrain00609.avi), written=256
[610/2517] actionclipautoautotrain00608: frames=506, subjects=5, fps=25 (ffprobe:actionclipautoautotrain00608.avi), written=506
[611/2517] actionclipautoautotrain00611: frames=256, subjects=5, fps=25 (ffprobe:actionclipautoautotrain00611.avi), written=256
[612/2517] actionclipautoautotrain00613: frames=231, subjects=5, fps=25 (ffprobe:actionclipautoautotrain00613.avi), written=231
[613/2517] actionclipautoautotrain00615: frames=231, subjects=5, fps=25 (ffprobe:actionclipautoautotrain00615.avi), written=231
[614/2517] actionclipautoautotrain00619: frames=303, subjects=5, fps=23.976 (ffprobe:actionclipautoautotrain00619.avi), written=303
[615/2517] actionclipautoautotrain00618: frames=327, subjects=5, fps=23.976 (ffprobe:actionclipautoautotrain00618.avi), written=327
[616/2517] actionclipautoautotrain00621: frames=255, subjects=5, fps=23.976 (ffprobe:actionclipautoautotrain00621.avi), written=255
[617/2517] actionclipautoautotrain00617: frames=231, subjects=5, fps=25 (ffprobe:actionclipautoautotrain00617.avi), written=231
[618/2517] actionclipautoautotrain00620: frames=375, subjects=5, fps=23.976 (ffprobe:actionclipautoautotrain00620.avi), written=375
[619/2517] actionclipautoautotrain00610: frames=631, subjects=5, fps=25 (ffprobe:actionclipautoautotrain00610.avi), written=631
[620/2517] actionclipautoautotrain00623: frames=303, subjects=5, fps=23.976 (ffprobe:actionclipautoautotrain00623.avi), written=303
[621/2517] actionclipautoautotrain00614: frames=1031, subjects=5, fps=25 (ffprobe:actionclipautoautotrain00614.avi), written=1031
[622/2517] actionclipautoautotrain00624: frames=231, subjects=5, fps=23.976 (ffprobe:actionclipautoautotrain00624.avi), written=231
[623/2517] actionclipautoautotrain00625: frames=231, subjects=5, fps=23.976 (ffprobe:actionclipautoautotrain00625.avi), written=231
[624/2517] actionclipautoautotrain00626: frames=255, subjects=5, fps=23.976 (ffprobe:actionclipautoautotrain00626.avi), written=255
[625/2517] actionclipautoautotrain00627: frames=255, subjects=5, fps=23.976 (ffprobe:actionclipautoautotrain00627.avi), written=255
[626/2517] actionclipautoautotrain00622: frames=422, subjects=5, fps=23.976 (ffprobe:actionclipautoautotrain00622.avi), written=422
[627/2517] actionclipautoautotrain00616: frames=1556, subjects=5, fps=25 (ffprobe:actionclipautoautotrain00616.avi), written=1556
[628/2517] actionclipautoautotrain00629: frames=255, subjects=5, fps=23.976 (ffprobe:actionclipautoautotrain00629.avi), written=255
[629/2517] actionclipautoautotrain00630: frames=279, subjects=5, fps=23.976 (ffprobe:actionclipautoautotrain00630.avi), written=279
[630/2517] actionclipautoautotrain00628: frames=735, subjects=5, fps=23.976 (ffprobe:actionclipautoautotrain00628.avi), written=735
[631/2517] actionclipautoautotrain00634: frames=351, subjects=5, fps=23.976 (ffprobe:actionclipautoautotrain00634.avi), written=351
[632/2517] actionclipautoautotrain00632: frames=327, subjects=5, fps=23.976 (ffprobe:actionclipautoautotrain00632.avi), written=327
[633/2517] actionclipautoautotrain00631: frames=519, subjects=5, fps=23.976 (ffprobe:actionclipautoautotrain00631.avi), written=519
[634/2517] actionclipautoautotrain00633: frames=279, subjects=5, fps=23.976 (ffprobe:actionclipautoautotrain00633.avi), written=279
[635/2517] actionclipautoautotrain00636: frames=375, subjects=4, fps=23.976 (ffprobe:actionclipautoautotrain00636.avi), written=375
[636/2517] actionclipautoautotrain00640: frames=303, subjects=4, fps=23.976 (ffprobe:actionclipautoautotrain00640.avi), written=303
[637/2517] actionclipautoautotrain00637: frames=351, subjects=5, fps=23.976 (ffprobe:actionclipautoautotrain00637.avi), written=351
[638/2517] actionclipautoautotrain00642: frames=255, subjects=5, fps=23.976 (ffprobe:actionclipautoautotrain00642.avi), written=255
[639/2517] actionclipautoautotrain00641: frames=255, subjects=5, fps=23.976 (ffprobe:actionclipautoautotrain00641.avi), written=255
[640/2517] actionclipautoautotrain00638: frames=447, subjects=5, fps=23.976 (ffprobe:actionclipautoautotrain00638.avi), written=447
[641/2517] actionclipautoautotrain00639: frames=543, subjects=5, fps=23.976 (ffprobe:actionclipautoautotrain00639.avi), written=543
[642/2517] actionclipautoautotrain00643: frames=375, subjects=5, fps=23.976 (ffprobe:actionclipautoautotrain00643.avi), written=375
[643/2517] actionclipautoautotrain00635: frames=1454, subjects=5, fps=23.976 (ffprobe:actionclipautoautotrain00635.avi), written=1454
[644/2517] actionclipautoautotrain00645: frames=255, subjects=5, fps=23.976 (ffprobe:actionclipautoautotrain00645.avi), written=255
[645/2517] actionclipautoautotrain00644: frames=423, subjects=4, fps=23.976 (ffprobe:actionclipautoautotrain00644.avi), written=423
[646/2517] actionclipautoautotrain00646: frames=231, subjects=5, fps=23.976 (ffprobe:actionclipautoautotrain00646.avi), written=231
[647/2517] actionclipautoautotrain00649: frames=303, subjects=5, fps=23.976 (ffprobe:actionclipautoautotrain00649.avi), written=303
[648/2517] actionclipautoautotrain00650: frames=327, subjects=5, fps=23.976 (ffprobe:actionclipautoautotrain00650.avi), written=327
[649/2517] actionclipautoautotrain00647: frames=303, subjects=4, fps=23.976 (ffprobe:actionclipautoautotrain00647.avi), written=303
[650/2517] actionclipautoautotrain00655: frames=231, subjects=5, fps=25 (ffprobe:actionclipautoautotrain00655.avi), written=231
[651/2517] actionclipautoautotrain00651: frames=327, subjects=5, fps=23.976 (ffprobe:actionclipautoautotrain00651.avi), written=327
[652/2517] actionclipautoautotrain00657: frames=256, subjects=5, fps=25 (ffprobe:actionclipautoautotrain00657.avi), written=256
[653/2517] actionclipautoautotrain00652: frames=327, subjects=5, fps=23.976 (ffprobe:actionclipautoautotrain00652.avi), written=327
[654/2517] actionclipautoautotrain00656: frames=231, subjects=5, fps=25 (ffprobe:actionclipautoautotrain00656.avi), written=231
[655/2517] actionclipautoautotrain00654: frames=279, subjects=5, fps=23.976 (ffprobe:actionclipautoautotrain00654.avi), written=279
[656/2517] actionclipautoautotrain00653: frames=567, subjects=5, fps=23.976 (ffprobe:actionclipautoautotrain00653.avi), written=567
[657/2517] actionclipautoautotrain00659: frames=231, subjects=5, fps=25 (ffprobe:actionclipautoautotrain00659.avi), written=231
[658/2517] actionclipautoautotrain00658: frames=481, subjects=5, fps=25 (ffprobe:actionclipautoautotrain00658.avi), written=481
[659/2517] actionclipautoautotrain00648: frames=519, subjects=5, fps=23.976 (ffprobe:actionclipautoautotrain00648.avi), written=519
[660/2517] actionclipautoautotrain00660: frames=281, subjects=5, fps=25 (ffprobe:actionclipautoautotrain00660.avi), written=281
[661/2517] actionclipautoautotrain00663: frames=231, subjects=5, fps=25 (ffprobe:actionclipautoautotrain00663.avi), written=231
[662/2517] actionclipautoautotrain00662: frames=706, subjects=5, fps=25 (ffprobe:actionclipautoautotrain00662.avi), written=706
[663/2517] actionclipautoautotrain00661: frames=506, subjects=5, fps=25 (ffprobe:actionclipautoautotrain00661.avi), written=506
[664/2517] actionclipautoautotrain00664: frames=281, subjects=5, fps=25 (ffprobe:actionclipautoautotrain00664.avi), written=281
[665/2517] actionclipautoautotrain00667: frames=356, subjects=5, fps=25 (ffprobe:actionclipautoautotrain00667.avi), written=356
[666/2517] actionclipautoautotrain00669: frames=431, subjects=5, fps=25 (ffprobe:actionclipautoautotrain00669.avi), written=431
[667/2517] actionclipautoautotrain00666: frames=831, subjects=5, fps=25 (ffprobe:actionclipautoautotrain00666.avi), written=831
[668/2517] actionclipautoautotrain00671: frames=255, subjects=5, fps=25 (ffprobe:actionclipautoautotrain00671.avi), written=255
[669/2517] actionclipautoautotrain00670: frames=591, subjects=5, fps=25 (ffprobe:actionclipautoautotrain00670.avi), written=591
[670/2517] actionclipautoautotrain00672: frames=231, subjects=5, fps=25 (ffprobe:actionclipautoautotrain00672.avi), written=231
[671/2517] actionclipautoautotrain00673: frames=495, subjects=5, fps=25 (ffprobe:actionclipautoautotrain00673.avi), written=495
[672/2517] actionclipautoautotrain00678: frames=231, subjects=5, fps=25 (ffprobe:actionclipautoautotrain00678.avi), written=231
[673/2517] actionclipautoautotrain00676: frames=231, subjects=5, fps=25 (ffprobe:actionclipautoautotrain00676.avi), written=231
[674/2517] actionclipautoautotrain00675: frames=303, subjects=5, fps=25 (ffprobe:actionclipautoautotrain00675.avi), written=303
[675/2517] actionclipautoautotrain00674: frames=327, subjects=5, fps=25 (ffprobe:actionclipautoautotrain00674.avi), written=327
[676/2517] actionclipautoautotrain00679: frames=255, subjects=5, fps=25 (ffprobe:actionclipautoautotrain00679.avi), written=255
[677/2517] actionclipautoautotrain00677: frames=279, subjects=4, fps=25 (ffprobe:actionclipautoautotrain00677.avi), written=279
[678/2517] actionclipautoautotrain00668: frames=956, subjects=5, fps=25 (ffprobe:actionclipautoautotrain00668.avi), written=956
[679/2517] actionclipautoautotrain00681: frames=303, subjects=5, fps=25 (ffprobe:actionclipautoautotrain00681.avi), written=303
[680/2517] actionclipautoautotrain00680: frames=231, subjects=5, fps=25 (ffprobe:actionclipautoautotrain00680.avi), written=231
[681/2517] actionclipautoautotrain00682: frames=303, subjects=5, fps=23.976 (ffprobe:actionclipautoautotrain00682.avi), written=303
[682/2517] actionclipautoautotrain00685: frames=279, subjects=5, fps=23.976 (ffprobe:actionclipautoautotrain00685.avi), written=279
[683/2517] actionclipautoautotrain00687: frames=278, subjects=5, fps=23.976 (ffprobe:actionclipautoautotrain00687.avi), written=278
[684/2517] actionclipautoautotrain00686: frames=231, subjects=5, fps=23.976 (ffprobe:actionclipautoautotrain00686.avi), written=231
[685/2517] actionclipautoautotrain00683: frames=375, subjects=5, fps=23.976 (ffprobe:actionclipautoautotrain00683.avi), written=375
[686/2517] actionclipautoautotrain00688: frames=327, subjects=5, fps=23.976 (ffprobe:actionclipautoautotrain00688.avi), written=327
[687/2517] actionclipautoautotrain00689: frames=326, subjects=5, fps=23.976 (ffprobe:actionclipautoautotrain00689.avi), written=326
[688/2517] actionclipautoautotrain00691: frames=279, subjects=5, fps=23.976 (ffprobe:actionclipautoautotrain00691.avi), written=279
[689/2517] actionclipautoautotrain00690: frames=231, subjects=5, fps=23.976 (ffprobe:actionclipautoautotrain00690.avi), written=231
[690/2517] actionclipautoautotrain00684: frames=495, subjects=5, fps=23.976 (ffprobe:actionclipautoautotrain00684.avi), written=495
[691/2517] actionclipautoautotrain00693: frames=398, subjects=4, fps=23.976 (ffprobe:actionclipautoautotrain00693.avi), written=398
[692/2517] actionclipautoautotrain00695: frames=399, subjects=5, fps=23.976 (ffprobe:actionclipautoautotrain00695.avi), written=399
[693/2517] actionclipautoautotrain00692: frames=902, subjects=5, fps=23.976 (ffprobe:actionclipautoautotrain00692.avi), written=902
[694/2517] actionclipautoautotrain00694: frames=495, subjects=5, fps=23.976 (ffprobe:actionclipautoautotrain00694.avi), written=495
[695/2517] actionclipautoautotrain00696: frames=255, subjects=5, fps=23.976 (ffprobe:actionclipautoautotrain00696.avi), written=255
[696/2517] actionclipautoautotrain00697: frames=279, subjects=4, fps=23.976 (ffprobe:actionclipautoautotrain00697.avi), written=279
[697/2517] actionclipautoautotrain00665: frames=4481, subjects=5, fps=25 (ffprobe:actionclipautoautotrain00665.avi), written=4481
[698/2517] actionclipautoautotrain00698: frames=519, subjects=5, fps=23.976 (ffprobe:actionclipautoautotrain00698.avi), written=519
[699/2517] actionclipautoautotrain00701: frames=326, subjects=5, fps=23.976 (ffprobe:actionclipautoautotrain00701.avi), written=326
[700/2517] actionclipautoautotrain00699: frames=279, subjects=5, fps=23.976 (ffprobe:actionclipautoautotrain00699.avi), written=279
[701/2517] actionclipautoautotrain00700: frames=231, subjects=5, fps=23.976 (ffprobe:actionclipautoautotrain00700.avi), written=231
[702/2517] actionclipautoautotrain00702: frames=303, subjects=5, fps=23.976 (ffprobe:actionclipautoautotrain00702.avi), written=303
[703/2517] actionclipautoautotrain00703: frames=255, subjects=5, fps=23.976 (ffprobe:actionclipautoautotrain00703.avi), written=255
[704/2517] actionclipautoautotrain00704: frames=255, subjects=5, fps=23.976 (ffprobe:actionclipautoautotrain00704.avi), written=255
[705/2517] actionclipautoautotrain00705: frames=255, subjects=5, fps=23.976 (ffprobe:actionclipautoautotrain00705.avi), written=255
[706/2517] actionclipautoautotrain00706: frames=231, subjects=5, fps=25 (ffprobe:actionclipautoautotrain00706.avi), written=231
[707/2517] actionclipautoautotrain00708: frames=256, subjects=5, fps=25 (ffprobe:actionclipautoautotrain00708.avi), written=256
[708/2517] actionclipautoautotrain00709: frames=256, subjects=5, fps=25 (ffprobe:actionclipautoautotrain00709.avi), written=256
[709/2517] actionclipautoautotrain00711: frames=531, subjects=4, fps=25 (ffprobe:actionclipautoautotrain00711.avi), written=531
[710/2517] actionclipautoautotrain00710: frames=431, subjects=5, fps=25 (ffprobe:actionclipautoautotrain00710.avi), written=431
[711/2517] actionclipautoautotrain00713: frames=231, subjects=5, fps=25 (ffprobe:actionclipautoautotrain00713.avi), written=231
[712/2517] actionclipautoautotrain00707: frames=531, subjects=5, fps=25 (ffprobe:actionclipautoautotrain00707.avi), written=531
[713/2517] actionclipautoautotrain00712: frames=906, subjects=5, fps=25 (ffprobe:actionclipautoautotrain00712.avi), written=906
[714/2517] actionclipautoautotrain00714: frames=256, subjects=5, fps=25 (ffprobe:actionclipautoautotrain00714.avi), written=256
[715/2517] actionclipautoautotrain00718: frames=231, subjects=4, fps=25 (ffprobe:actionclipautoautotrain00718.avi), written=231
[716/2517] actionclipautoautotrain00715: frames=256, subjects=5, fps=25 (ffprobe:actionclipautoautotrain00715.avi), written=256
[717/2517] actionclipautoautotrain00716: frames=231, subjects=5, fps=25 (ffprobe:actionclipautoautotrain00716.avi), written=231
[718/2517] actionclipautoautotrain00719: frames=331, subjects=5, fps=25 (ffprobe:actionclipautoautotrain00719.avi), written=331
[719/2517] actionclipautoautotrain00720: frames=331, subjects=5, fps=25 (ffprobe:actionclipautoautotrain00720.avi), written=331
[720/2517] actionclipautoautotrain00717: frames=581, subjects=5, fps=25 (ffprobe:actionclipautoautotrain00717.avi), written=581
[721/2517] actionclipautoautotrain00726: frames=303, subjects=5, fps=25 (ffprobe:actionclipautoautotrain00726.avi), written=303
[722/2517] actionclipautoautotrain00727: frames=423, subjects=5, fps=25 (ffprobe:actionclipautoautotrain00727.avi), written=423
[723/2517] actionclipautoautotrain00728: frames=590, subjects=5, fps=25 (ffprobe:actionclipautoautotrain00728.avi), written=590
[724/2517] actionclipautoautotrain00729: frames=279, subjects=5, fps=25 (ffprobe:actionclipautoautotrain00729.avi), written=279
[725/2517] actionclipautoautotrain00722: frames=356, subjects=5, fps=25 (ffprobe:actionclipautoautotrain00722.avi), written=356
[726/2517] actionclipautoautotrain00721: frames=406, subjects=5, fps=25 (ffprobe:actionclipautoautotrain00721.avi), written=406
[727/2517] actionclipautoautotrain00730: frames=470, subjects=5, fps=25 (ffprobe:actionclipautoautotrain00730.avi), written=470
[728/2517] actionclipautoautotrain00731: frames=495, subjects=5, fps=25 (ffprobe:actionclipautoautotrain00731.avi), written=495
[729/2517] actionclipautoautotrain00734: frames=255, subjects=4, fps=25 (ffprobe:actionclipautoautotrain00734.avi), written=255
[730/2517] actionclipautoautotrain00732: frames=375, subjects=5, fps=25 (ffprobe:actionclipautoautotrain00732.avi), written=375
[731/2517] actionclipautoautotrain00737: frames=279, subjects=4, fps=25 (ffprobe:actionclipautoautotrain00737.avi), written=279
[732/2517] actionclipautoautotrain00733: frames=375, subjects=5, fps=25 (ffprobe:actionclipautoautotrain00733.avi), written=375
[733/2517] actionclipautoautotrain00723: frames=606, subjects=5, fps=25 (ffprobe:actionclipautoautotrain00723.avi), written=606
[734/2517] actionclipautoautotrain00735: frames=375, subjects=5, fps=25 (ffprobe:actionclipautoautotrain00735.avi), written=375
[735/2517] actionclipautoautotrain00738: frames=255, subjects=5, fps=25 (ffprobe:actionclipautoautotrain00738.avi), written=255
[736/2517] actionclipautoautotrain00736: frames=422, subjects=5, fps=25 (ffprobe:actionclipautoautotrain00736.avi), written=422
[737/2517] actionclipautoautotrain00740: frames=231, subjects=5, fps=25 (ffprobe:actionclipautoautotrain00740.avi), written=231
[738/2517] actionclipautoautotrain00741: frames=255, subjects=5, fps=25 (ffprobe:actionclipautoautotrain00741.avi), written=255
[739/2517] actionclipautoautotrain00744: frames=231, subjects=5, fps=25 (ffprobe:actionclipautoautotrain00744.avi), written=231
[740/2517] actionclipautoautotrain00743: frames=327, subjects=3, fps=25 (ffprobe:actionclipautoautotrain00743.avi), written=327
[741/2517] actionclipautoautotrain00725: frames=431, subjects=5, fps=25 (ffprobe:actionclipautoautotrain00725.avi), written=431
[742/2517] actionclipautoautotrain00742: frames=279, subjects=5, fps=25 (ffprobe:actionclipautoautotrain00742.avi), written=279
[743/2517] actionclipautoautotrain00747: frames=327, subjects=5, fps=25 (ffprobe:actionclipautoautotrain00747.avi), written=327
[744/2517] actionclipautoautotrain00724: frames=531, subjects=5, fps=25 (ffprobe:actionclipautoautotrain00724.avi), written=531
[745/2517] actionclipautoautotrain00746: frames=351, subjects=5, fps=25 (ffprobe:actionclipautoautotrain00746.avi), written=351
[746/2517] actionclipautoautotrain00745: frames=255, subjects=5, fps=25 (ffprobe:actionclipautoautotrain00745.avi), written=255
[747/2517] actionclipautoautotrain00739: frames=1621, subjects=5, fps=25 (ffprobe:actionclipautoautotrain00739.avi), written=1621
[748/2517] actionclipautoautotrain00754: frames=423, subjects=5, fps=25 (ffprobe:actionclipautoautotrain00754.avi), written=423
[749/2517] actionclipautoautotrain00751: frames=231, subjects=5, fps=25 (ffprobe:actionclipautoautotrain00751.avi), written=231
[750/2517] actionclipautoautotrain00748: frames=303, subjects=4, fps=25 (ffprobe:actionclipautoautotrain00748.avi), written=303
[751/2517] actionclipautoautotrain00755: frames=231, subjects=4, fps=25 (ffprobe:actionclipautoautotrain00755.avi), written=231
[752/2517] actionclipautoautotrain00756: frames=231, subjects=5, fps=25 (ffprobe:actionclipautoautotrain00756.avi), written=231
[753/2517] actionclipautoautotrain00752: frames=1790, subjects=4, fps=25 (ffprobe:actionclipautoautotrain00752.avi), written=1790
[754/2517] actionclipautoautotrain00757: frames=566, subjects=5, fps=25 (ffprobe:actionclipautoautotrain00757.avi), written=566
[755/2517] actionclipautoautotrain00760: frames=231, subjects=5, fps=25 (ffprobe:actionclipautoautotrain00760.avi), written=231
[756/2517] actionclipautoautotrain00758: frames=1190, subjects=5, fps=25 (ffprobe:actionclipautoautotrain00758.avi), written=1190
[757/2517] actionclipautoautotrain00762: frames=350, subjects=5, fps=25 (ffprobe:actionclipautoautotrain00762.avi), written=350
[758/2517] actionclipautoautotrain00764: frames=231, subjects=5, fps=25 (ffprobe:actionclipautoautotrain00764.avi), written=231
[759/2517] actionclipautoautotrain00749: frames=831, subjects=5, fps=25 (ffprobe:actionclipautoautotrain00749.avi), written=831
[760/2517] actionclipautoautotrain00761: frames=327, subjects=5, fps=25 (ffprobe:actionclipautoautotrain00761.avi), written=327
[761/2517] actionclipautoautotrain00763: frames=279, subjects=5, fps=25 (ffprobe:actionclipautoautotrain00763.avi), written=279
[762/2517] actionclipautoautotrain00765: frames=447, subjects=5, fps=25 (ffprobe:actionclipautoautotrain00765.avi), written=447
[763/2517] actionclipautoautotrain00767: frames=255, subjects=5, fps=25 (ffprobe:actionclipautoautotrain00767.avi), written=255
[764/2517] actionclipautoautotrain00768: frames=303, subjects=4, fps=25 (ffprobe:actionclipautoautotrain00768.avi), written=303
[765/2517] actionclipautoautotrain00770: frames=327, subjects=4, fps=25 (ffprobe:actionclipautoautotrain00770.avi), written=327
[766/2517] actionclipautoautotrain00766: frames=303, subjects=5, fps=25 (ffprobe:actionclipautoautotrain00766.avi), written=303
[767/2517] actionclipautoautotrain00769: frames=303, subjects=5, fps=25 (ffprobe:actionclipautoautotrain00769.avi), written=303
[768/2517] actionclipautoautotrain00774: frames=303, subjects=5, fps=25 (ffprobe:actionclipautoautotrain00774.avi), written=303
[769/2517] actionclipautoautotrain00773: frames=399, subjects=4, fps=25 (ffprobe:actionclipautoautotrain00773.avi), written=399
[770/2517] actionclipautoautotrain00776: frames=279, subjects=5, fps=25 (ffprobe:actionclipautoautotrain00776.avi), written=279
[771/2517] actionclipautoautotrain00772: frames=687, subjects=5, fps=25 (ffprobe:actionclipautoautotrain00772.avi), written=687
[772/2517] actionclipautoautotrain00750: frames=1430, subjects=5, fps=25 (ffprobe:actionclipautoautotrain00750.avi), written=1430
[773/2517] actionclipautoautotrain00775: frames=279, subjects=5, fps=25 (ffprobe:actionclipautoautotrain00775.avi), written=279
[774/2517] actionclipautoautotrain00777: frames=326, subjects=5, fps=25 (ffprobe:actionclipautoautotrain00777.avi), written=326
[775/2517] actionclipautoautotrain00778: frames=255, subjects=5, fps=25 (ffprobe:actionclipautoautotrain00778.avi), written=255
[776/2517] actionclipautoautotrain00780: frames=303, subjects=5, fps=25 (ffprobe:actionclipautoautotrain00780.avi), written=303
[777/2517] actionclipautoautotrain00779: frames=255, subjects=5, fps=25 (ffprobe:actionclipautoautotrain00779.avi), written=255
[778/2517] actionclipautoautotrain00781: frames=255, subjects=4, fps=25 (ffprobe:actionclipautoautotrain00781.avi), written=255
[779/2517] actionclipautoautotrain00782: frames=327, subjects=5, fps=25 (ffprobe:actionclipautoautotrain00782.avi), written=327
[780/2517] actionclipautoautotrain00783: frames=279, subjects=5, fps=25 (ffprobe:actionclipautoautotrain00783.avi), written=279
[781/2517] actionclipautoautotrain00784: frames=255, subjects=5, fps=25 (ffprobe:actionclipautoautotrain00784.avi), written=255
[782/2517] actionclipautoautotrain00787: frames=255, subjects=4, fps=25 (ffprobe:actionclipautoautotrain00787.avi), written=255
[783/2517] actionclipautoautotrain00785: frames=255, subjects=5, fps=25 (ffprobe:actionclipautoautotrain00785.avi), written=255
[784/2517] actionclipautoautotrain00786: frames=279, subjects=4, fps=25 (ffprobe:actionclipautoautotrain00786.avi), written=279
[785/2517] actionclipautoautotrain00788: frames=255, subjects=5, fps=25 (ffprobe:actionclipautoautotrain00788.avi), written=255
[786/2517] actionclipautoautotrain00789: frames=279, subjects=4, fps=25 (ffprobe:actionclipautoautotrain00789.avi), written=279
[787/2517] actionclipautoautotrain00790: frames=255, subjects=5, fps=25 (ffprobe:actionclipautoautotrain00790.avi), written=255
[788/2517] actionclipautoautotrain00791: frames=231, subjects=4, fps=25 (ffprobe:actionclipautoautotrain00791.avi), written=231
[789/2517] actionclipautoautotrain00793: frames=231, subjects=5, fps=25 (ffprobe:actionclipautoautotrain00793.avi), written=231
[790/2517] actionclipautoautotrain00794: frames=375, subjects=5, fps=25 (ffprobe:actionclipautoautotrain00794.avi), written=375
[791/2517] actionclipautoautotrain00796: frames=303, subjects=5, fps=25 (ffprobe:actionclipautoautotrain00796.avi), written=303
[792/2517] actionclipautoautotrain00795: frames=255, subjects=5, fps=25 (ffprobe:actionclipautoautotrain00795.avi), written=255
[793/2517] actionclipautoautotrain00792: frames=662, subjects=5, fps=25 (ffprobe:actionclipautoautotrain00792.avi), written=662
[794/2517] actionclipautoautotrain00797: frames=231, subjects=5, fps=25 (ffprobe:actionclipautoautotrain00797.avi), written=231
[795/2517] actionclipautoautotrain00798: frames=231, subjects=5, fps=25 (ffprobe:actionclipautoautotrain00798.avi), written=231
[796/2517] actionclipautoautotrain00753: frames=5508, subjects=5, fps=25 (ffprobe:actionclipautoautotrain00753.avi), written=5508
[797/2517] actionclipautoautotrain00799: frames=303, subjects=5, fps=25 (ffprobe:actionclipautoautotrain00799.avi), written=303
[798/2517] actionclipautoautotrain00800: frames=351, subjects=5, fps=25 (ffprobe:actionclipautoautotrain00800.avi), written=351
[799/2517] actionclipautoautotrain00803: frames=231, subjects=5, fps=25 (ffprobe:actionclipautoautotrain00803.avi), written=231
[800/2517] actionclipautoautotrain00802: frames=303, subjects=5, fps=25 (ffprobe:actionclipautoautotrain00802.avi), written=303
[801/2517] actionclipautoautotrain00805: frames=279, subjects=5, fps=25 (ffprobe:actionclipautoautotrain00805.avi), written=279
[802/2517] actionclipautoautotrain00771: frames=2557, subjects=5, fps=25 (ffprobe:actionclipautoautotrain00771.avi), written=2557
[803/2517] actionclipautoautotrain00804: frames=303, subjects=5, fps=25 (ffprobe:actionclipautoautotrain00804.avi), written=303
[804/2517] actionclipautoautotrain00801: frames=423, subjects=5, fps=25 (ffprobe:actionclipautoautotrain00801.avi), written=423
[805/2517] actionclipautoautotrain00806: frames=255, subjects=5, fps=25 (ffprobe:actionclipautoautotrain00806.avi), written=255
[806/2517] actionclipautoautotrain00807: frames=567, subjects=5, fps=25 (ffprobe:actionclipautoautotrain00807.avi), written=567
[807/2517] actionclipautoautotrain00809: frames=231, subjects=5, fps=25 (ffprobe:actionclipautoautotrain00809.avi), written=231
[808/2517] actionclipautoautotrain00808: frames=375, subjects=5, fps=25 (ffprobe:actionclipautoautotrain00808.avi), written=375
[809/2517] actionclipautoautotrain00810: frames=255, subjects=5, fps=25 (ffprobe:actionclipautoautotrain00810.avi), written=255
[810/2517] actioncliptrain00001: frames=201, subjects=5, fps=24.995 (ffprobe:actioncliptrain00001.avi), written=201
[811/2517] actioncliptrain00002: frames=241, subjects=5, fps=24.995 (ffprobe:actioncliptrain00002.avi), written=241
[812/2517] actioncliptrain00003: frames=193, subjects=5, fps=24.995 (ffprobe:actioncliptrain00003.avi), written=193
[813/2517] actioncliptrain00005: frames=142, subjects=5, fps=24.995 (ffprobe:actioncliptrain00005.avi), written=142
[814/2517] actionclipautoautotrain00759: frames=5699, subjects=5, fps=25 (ffprobe:actionclipautoautotrain00759.avi), written=5699
[815/2517] actioncliptrain00006: frames=181, subjects=5, fps=24.995 (ffprobe:actioncliptrain00006.avi), written=181
[816/2517] actioncliptrain00008: frames=253, subjects=5, fps=24.995 (ffprobe:actioncliptrain00008.avi), written=253
[817/2517] actioncliptrain00009: frames=199, subjects=5, fps=24.995 (ffprobe:actioncliptrain00009.avi), written=199
[818/2517] actioncliptrain00013: frames=181, subjects=5, fps=24.995 (ffprobe:actioncliptrain00013.avi), written=181
[819/2517] actioncliptrain00011: frames=373, subjects=5, fps=24.995 (ffprobe:actioncliptrain00011.avi), written=373
[820/2517] actioncliptrain00015: frames=183, subjects=5, fps=24.995 (ffprobe:actioncliptrain00015.avi), written=183
[821/2517] actioncliptrain00017: frames=101, subjects=5, fps=24.995 (ffprobe:actioncliptrain00017.avi), written=101
[822/2517] actioncliptrain00016: frames=236, subjects=5, fps=24.995 (ffprobe:actioncliptrain00016.avi), written=236
[823/2517] actioncliptrain00007: frames=613, subjects=5, fps=24.995 (ffprobe:actioncliptrain00007.avi), written=613
[824/2517] actioncliptrain00012: frames=578, subjects=5, fps=24.995 (ffprobe:actioncliptrain00012.avi), written=578
[825/2517] actioncliptrain00021: frames=91, subjects=5, fps=24.995 (ffprobe:actioncliptrain00021.avi), written=91
[826/2517] actioncliptrain00020: frames=120, subjects=5, fps=24.995 (ffprobe:actioncliptrain00020.avi), written=120
[827/2517] actioncliptrain00019: frames=171, subjects=5, fps=24.995 (ffprobe:actioncliptrain00019.avi), written=171
